ATM_ID,Date,Total_Cash,Withdrawal_Amount,Deposit_Amount,Transaction_Count,Day_of_Week,Remaining_Cash,Cash_Out
ATM_39,2024-03-09,91328,29994,17034,114,Saturday,78368,0
ATM_29,2024-04-17,236646,37835,11904,132,Wednesday,210715,0
ATM_15,2024-02-04,111790,30133,17813,106,Sunday,99470,0
ATM_43,2024-12-24,279275,21131,10064,31,Tuesday,268208,0
ATM_8,2024-02-13,252655,10117,5984,17,Tuesday,248522,0
ATM_21,2024-05-22,236773,20758,17720,11,Wednesday,233735,0
ATM_39,2024-07-29,253197,14410,18679,72,Monday,257466,0
ATM_19,2024-10-11,162962,34521,8542,29,Friday,136983,0
ATM_23,2024-01-06,261573,7420,7961,147,Saturday,262114,0
ATM_11,2024-08-05,193877,25686,5078,39,Monday,173269,0
ATM_11,2024-01-27,247952,17192,7423,169,Saturday,238183,0
ATM_24,2024-08-14,136037,7653,17581,168,Wednesday,145965,0
ATM_36,2024-10-10,208403,10064,11040,84,Thursday,209379,0
ATM_40,2024-02-25,124860,31520,19067,86,Sunday,112407,0
ATM_24,2024-11-05,254147,4004,13430,64,Tuesday,263573,0
ATM_3,2024-12-01,90632,8596,18710,159,Sunday,100746,0
ATM_22,2024-04-14,166167,37427,3752,49,Sunday,132492,0
ATM_2,2024-01-18,276870,26740,13659,82,Thursday,263789,0
ATM_24,2024-07-23,137268,44222,7023,184,Tuesday,100069,0
ATM_44,2024-02-12,194297,40642,15472,95,Monday,169127,0
ATM_30,2024-03-29,233290,38548,13178,197,Friday,207920,0
ATM_38,2024-03-14,89859,21833,17973,162,Thursday,85999,0
ATM_2,2024-06-05,291596,28069,15698,28,Wednesday,279225,0
ATM_21,2024-09-22,240827,44149,18035,113,Sunday,214713,0
ATM_33,2024-05-13,76496,15472,7607,108,Monday,68631,0
ATM_12,2024-03-29,134392,32042,1138,28,Friday,103488,0
ATM_22,2024-08-23,50958,34181,14198,175,Friday,30975,0
ATM_44,2024-05-11,143399,12711,18337,172,Saturday,149025,0
ATM_25,2024-08-16,173951,19363,16234,92,Friday,170822,0
ATM_49,2024-02-03,133408,31296,10321,140,Saturday,112433,0
ATM_27,2024-03-23,136687,3342,2286,161,Saturday,135631,0
ATM_42,2024-05-11,246529,2568,6730,98,Saturday,250691,0
ATM_28,2024-12-19,199389,26449,17374,86,Thursday,190314,0
ATM_16,2024-07-22,63584,35624,12915,198,Monday,40875,0
ATM_15,2024-10-13,219567,25920,11521,126,Sunday,205168,0
ATM_47,2024-12-01,207664,47459,1899,140,Sunday,162104,0
ATM_44,2024-11-11,87917,22050,8145,134,Monday,74012,0
ATM_3,2024-09-14,137672,4500,18960,15,Saturday,152132,0
ATM_37,2024-10-18,106308,27841,14494,73,Friday,92961,0
ATM_7,2024-05-04,218814,9877,6834,42,Saturday,215771,0
ATM_21,2024-05-30,139010,9177,2940,120,Thursday,132773,0
ATM_9,2024-12-24,70321,15619,10153,179,Tuesday,64855,0
ATM_39,2024-09-03,217101,672,5253,77,Tuesday,221682,0
ATM_18,2024-06-23,289767,5333,8679,36,Sunday,293113,0
ATM_4,2024-12-22,158798,12792,3907,40,Sunday,149913,0
ATM_25,2024-10-28,171534,15810,16525,148,Monday,172249,0
ATM_14,2024-03-20,161349,44902,7322,56,Wednesday,123769,0
ATM_50,2024-04-16,147313,21610,16490,105,Tuesday,142193,0
ATM_9,2024-10-26,78858,8041,10514,147,Saturday,81331,0
ATM_26,2024-10-31,91838,32172,12401,199,Thursday,72067,0
ATM_2,2024-12-09,88336,22607,19999,62,Monday,85728,0
ATM_20,2024-02-27,114597,31951,11503,119,Tuesday,94149,0
ATM_28,2024-03-31,185840,32809,8182,122,Sunday,161213,0
ATM_47,2024-05-14,161467,39783,16596,80,Tuesday,138280,0
ATM_7,2024-12-15,168901,37476,16714,88,Sunday,148139,0
ATM_44,2024-06-17,258494,12151,14153,141,Monday,260496,0
ATM_8,2024-11-29,55177,49093,8147,159,Friday,14231,1
ATM_47,2024-05-01,212833,33977,5749,155,Wednesday,184605,0
ATM_35,2024-08-23,123582,9875,229,44,Friday,113936,0
ATM_14,2024-03-16,231094,23579,11904,40,Saturday,219419,0
ATM_17,2024-11-04,212955,48482,16827,101,Monday,181300,0
ATM_36,2024-01-23,187673,13092,5139,62,Tuesday,179720,0
ATM_50,2024-11-28,124433,10007,19875,110,Thursday,134301,0
ATM_40,2024-03-13,200145,9863,2119,12,Wednesday,192401,0
ATM_4,2024-03-28,106261,42623,12386,109,Thursday,76024,0
ATM_2,2024-04-12,224291,39681,17577,52,Friday,202187,0
ATM_6,2024-04-03,54581,32873,10934,43,Wednesday,32642,0
ATM_42,2024-11-11,291435,49374,9658,84,Monday,251719,0
ATM_4,2024-09-22,171975,41727,4764,86,Sunday,135012,0
ATM_29,2024-09-09,89802,18935,16972,34,Monday,87839,0
ATM_18,2024-12-23,174457,43268,1436,16,Monday,132625,0
ATM_26,2024-02-27,79698,22562,2187,100,Tuesday,59323,0
ATM_44,2024-01-09,101119,44895,17635,86,Tuesday,73859,0
ATM_34,2024-01-13,256052,17390,9594,72,Saturday,248256,0
ATM_10,2024-05-10,256052,15092,12519,170,Friday,253479,0
ATM_36,2024-08-09,110393,28995,9765,31,Friday,91163,0
ATM_14,2024-11-24,55080,40642,9258,44,Sunday,23696,0
ATM_31,2024-06-01,283814,15259,9771,126,Saturday,278326,0
ATM_48,2024-03-11,114652,16717,12976,132,Monday,110911,0
ATM_15,2024-12-10,118664,9691,14899,138,Tuesday,123872,0
ATM_8,2024-01-20,170023,40466,1513,69,Saturday,131070,0
ATM_14,2024-03-21,289234,44350,5921,73,Thursday,250805,0
ATM_23,2024-08-15,112577,11480,5906,185,Thursday,107003,0
ATM_40,2024-12-11,203278,23334,8948,186,Wednesday,188892,0
ATM_21,2024-01-19,211522,41765,7069,196,Friday,176826,0
ATM_16,2024-06-13,128117,33287,5391,16,Thursday,100221,0
ATM_45,2024-04-16,164490,2394,18383,178,Tuesday,180479,0
ATM_18,2024-12-13,172907,28018,15355,60,Friday,160244,0
ATM_47,2024-08-01,94569,35096,17801,79,Thursday,77274,0
ATM_24,2024-08-26,59811,48318,18058,184,Monday,29551,0
ATM_26,2024-05-26,274090,44327,10724,103,Sunday,240487,0
ATM_25,2024-06-29,231568,22640,14176,180,Saturday,223104,0
ATM_45,2024-12-01,127641,604,16110,44,Sunday,143147,0
ATM_41,2024-07-16,143897,9416,9233,44,Tuesday,143714,0
ATM_29,2024-10-13,136588,22234,13045,84,Sunday,127399,0
ATM_15,2024-02-22,193032,16445,8540,140,Thursday,185127,0
ATM_45,2024-08-27,176709,24728,975,184,Tuesday,152956,0
ATM_1,2024-10-16,237904,17271,5120,196,Wednesday,225753,0
ATM_25,2024-10-13,141039,23241,2539,47,Sunday,120337,0
ATM_7,2024-07-06,68162,27710,12585,91,Saturday,53037,0
ATM_9,2024-01-06,249711,46159,5802,163,Saturday,209354,0
ATM_24,2024-10-09,219706,47781,5464,98,Wednesday,177389,0
ATM_1,2024-09-19,55530,36232,17574,33,Thursday,36872,0
ATM_44,2024-02-18,273628,16256,16240,178,Sunday,273612,0
ATM_8,2024-12-17,249696,39552,3369,92,Tuesday,213513,0
ATM_24,2024-07-18,172779,5956,11814,122,Thursday,178637,0
ATM_11,2024-02-29,73128,47713,5295,62,Thursday,30710,0
ATM_17,2024-02-02,120707,1615,3922,80,Friday,123014,0
ATM_8,2024-10-29,185537,49726,6926,148,Tuesday,142737,0
ATM_35,2024-08-31,140275,19466,3602,107,Saturday,124411,0
ATM_35,2024-06-20,79998,49340,7316,173,Thursday,37974,0
ATM_33,2024-07-25,285969,23364,6141,82,Thursday,268746,0
ATM_5,2024-10-09,275183,21464,815,143,Wednesday,254534,0
ATM_42,2024-01-22,269679,22804,13412,144,Monday,260287,0
ATM_39,2024-02-16,77333,35150,2029,102,Friday,44212,0
ATM_41,2024-12-14,274757,15952,16125,49,Saturday,274930,0
ATM_28,2024-06-06,115886,36941,5259,21,Thursday,84204,0
ATM_7,2024-09-14,56522,18761,18894,167,Saturday,56655,0
ATM_9,2024-05-22,227590,39506,7021,85,Wednesday,195105,0
ATM_8,2024-02-16,148504,38853,11137,91,Friday,120788,0
ATM_12,2024-01-27,139194,23457,9891,152,Saturday,125628,0
ATM_34,2024-01-27,85320,8662,14193,138,Saturday,90851,0
ATM_33,2024-05-24,237379,28441,16865,190,Friday,225803,0
ATM_48,2024-03-15,254159,40052,121,64,Friday,214228,0
ATM_23,2024-07-05,230047,5420,1278,124,Friday,225905,0
ATM_24,2024-01-10,160424,33887,6777,159,Wednesday,133314,0
ATM_37,2024-04-30,163959,34255,11271,121,Tuesday,140975,0
ATM_35,2024-10-15,214891,22232,17621,98,Tuesday,210280,0
ATM_44,2024-06-13,275616,1686,8571,65,Thursday,282501,0
ATM_40,2024-09-20,107630,32453,17465,15,Friday,92642,0
ATM_22,2024-06-09,257478,47294,8829,12,Sunday,219013,0
ATM_27,2024-11-22,106662,5298,7065,183,Friday,108429,0
ATM_35,2024-10-23,163305,37130,231,183,Wednesday,126406,0
ATM_1,2024-04-27,158291,2012,12929,143,Saturday,169208,0
ATM_35,2024-11-06,184630,45551,3369,18,Wednesday,142448,0
ATM_37,2024-09-19,244154,48659,15870,57,Thursday,211365,0
ATM_47,2024-03-24,245834,10451,9141,149,Sunday,244524,0
ATM_14,2024-05-25,123834,9242,6443,77,Saturday,121035,0
ATM_3,2024-06-19,232777,42902,5026,10,Wednesday,194901,0
ATM_1,2024-11-29,53513,47649,880,50,Friday,6744,1
ATM_5,2024-11-04,190532,37506,6930,36,Monday,159956,0
ATM_26,2024-01-14,236446,22745,3130,177,Sunday,216831,0
ATM_14,2024-05-28,206388,6155,11335,181,Tuesday,211568,0
ATM_39,2024-09-07,254261,7706,12103,121,Saturday,258658,0
ATM_27,2024-02-26,246630,3114,5019,30,Monday,248535,0
ATM_9,2024-12-12,163860,1641,3086,177,Thursday,165305,0
ATM_15,2024-10-28,99512,4976,1094,41,Monday,95630,0
ATM_15,2024-12-12,78669,24164,18164,86,Thursday,72669,0
ATM_26,2024-05-12,153099,27254,11917,60,Sunday,137762,0
ATM_42,2024-06-18,149754,24770,6959,10,Tuesday,131943,0
ATM_13,2024-04-11,107560,9134,18517,131,Thursday,116943,0
ATM_32,2024-04-15,81709,16090,5582,63,Monday,71201,0
ATM_39,2024-06-19,246342,23690,18540,11,Wednesday,241192,0
ATM_49,2024-05-07,137705,11489,7755,161,Tuesday,133971,0
ATM_32,2024-09-06,282130,27725,16516,86,Friday,270921,0
ATM_4,2024-02-01,67011,12032,12929,185,Thursday,67908,0
ATM_30,2024-08-03,69651,6897,1971,74,Saturday,64725,0
ATM_37,2024-09-18,50566,8945,2426,110,Wednesday,44047,0
ATM_23,2024-11-25,86526,48918,4791,13,Monday,42399,0
ATM_39,2024-08-31,295713,49845,12476,132,Saturday,258344,0
ATM_45,2024-10-11,290058,6212,18639,18,Friday,302485,0
ATM_15,2024-10-16,52020,9433,18833,111,Wednesday,61420,0
ATM_43,2024-09-19,119066,32873,3213,107,Thursday,89406,0
ATM_29,2024-12-02,68890,11931,11731,187,Monday,68690,0
ATM_36,2024-11-28,258355,15302,7328,171,Thursday,250381,0
ATM_13,2024-11-09,125919,20835,14595,84,Saturday,119679,0
ATM_32,2024-03-25,93882,29949,14013,55,Monday,77946,0
ATM_7,2024-11-24,75304,40244,14465,113,Sunday,49525,0
ATM_22,2024-02-14,168016,33916,9991,119,Wednesday,144091,0
ATM_28,2024-10-29,97742,10147,11841,140,Tuesday,99436,0
ATM_2,2024-11-28,263465,9501,13016,39,Thursday,266980,0
ATM_42,2024-07-18,112124,25099,19588,89,Thursday,106613,0
ATM_45,2024-07-19,214445,1286,8015,69,Friday,221174,0
ATM_6,2024-11-24,179925,11918,11003,30,Sunday,179010,0
ATM_28,2024-06-16,141354,37545,17600,193,Sunday,121409,0
ATM_28,2024-08-27,88451,20997,14987,76,Tuesday,82441,0
ATM_44,2024-10-12,102754,20848,19072,177,Saturday,100978,0
ATM_44,2024-07-08,194741,4746,13241,197,Monday,203236,0
ATM_20,2024-03-11,254012,3663,2178,53,Monday,252527,0
ATM_30,2024-05-24,283130,13686,2447,159,Friday,271891,0
ATM_11,2024-12-24,70754,14604,5154,23,Tuesday,61304,0
ATM_28,2024-07-27,283254,2331,3641,134,Saturday,284564,0
ATM_25,2024-12-25,174779,46325,6422,139,Wednesday,134876,0
ATM_39,2024-07-26,152047,23683,17785,136,Friday,146149,0
ATM_33,2024-08-09,185919,3195,18550,78,Friday,201274,0
ATM_1,2024-10-13,131472,46810,4894,120,Sunday,89556,0
ATM_27,2024-06-11,289832,4731,14292,180,Tuesday,299393,0
ATM_13,2024-12-30,88446,29294,17254,176,Monday,76406,0
ATM_41,2024-03-12,147676,39713,10789,78,Tuesday,118752,0
ATM_3,2024-08-27,110489,22778,968,103,Tuesday,88679,0
ATM_39,2024-05-06,285473,38773,8913,27,Monday,255613,0
ATM_6,2024-03-25,165363,47847,631,82,Monday,118147,0
ATM_8,2024-01-15,119589,20888,13052,11,Monday,111753,0
ATM_27,2024-09-04,247317,21238,19366,119,Wednesday,245445,0
ATM_9,2024-11-07,181994,21467,2994,41,Thursday,163521,0
ATM_37,2024-10-09,282775,18756,9172,101,Wednesday,273191,0
ATM_33,2024-01-02,148711,12104,6635,67,Tuesday,143242,0
ATM_42,2024-03-14,291811,15932,744,169,Thursday,276623,0
ATM_44,2024-03-04,100261,2369,11078,74,Monday,108970,0
ATM_24,2024-09-17,217432,30115,16719,84,Tuesday,204036,0
ATM_15,2024-12-12,193862,37840,8600,197,Thursday,164622,0
ATM_32,2024-11-19,272972,41050,16093,54,Tuesday,248015,0
ATM_32,2024-08-26,195639,45350,12349,153,Monday,162638,0
ATM_24,2024-12-02,70343,31098,8234,97,Monday,47479,0
ATM_41,2024-12-06,236865,24488,187,169,Friday,212564,0
ATM_49,2024-10-05,212214,40006,18228,66,Saturday,190436,0
ATM_49,2024-12-18,51490,41048,9511,172,Wednesday,19953,1
ATM_12,2024-07-19,261190,29120,14744,154,Friday,246814,0
ATM_39,2024-10-19,178369,47790,10561,159,Saturday,141140,0
ATM_2,2024-10-12,110928,26370,5199,114,Saturday,89757,0
ATM_3,2024-08-08,209498,47988,13927,74,Thursday,175437,0
ATM_49,2024-06-10,168888,10305,12376,57,Monday,170959,0
ATM_37,2024-07-01,133401,26521,16825,134,Monday,123705,0
ATM_49,2024-09-21,215120,12554,19795,176,Saturday,222361,0
ATM_17,2024-05-11,228650,37503,7567,141,Saturday,198714,0
ATM_49,2024-11-17,276896,46188,12991,29,Sunday,243699,0
ATM_2,2024-04-29,147914,16444,3662,37,Monday,135132,0
ATM_2,2024-08-06,212795,36135,2544,138,Tuesday,179204,0
ATM_28,2024-06-08,66178,37619,17210,80,Saturday,45769,0
ATM_23,2024-10-26,178272,11825,869,199,Saturday,167316,0
ATM_37,2024-04-18,242358,28470,8505,47,Thursday,222393,0
ATM_32,2024-08-25,87622,9272,15016,103,Sunday,93366,0
ATM_33,2024-10-19,91834,24938,5847,60,Saturday,72743,0
ATM_1,2024-03-07,189127,12810,8848,59,Thursday,185165,0
ATM_19,2024-11-11,180241,49259,19006,29,Monday,149988,0
ATM_2,2024-07-05,205759,10800,7373,96,Friday,202332,0
ATM_44,2024-02-05,236390,25344,1874,25,Monday,212920,0
ATM_26,2024-02-18,220920,45490,9613,30,Sunday,185043,0
ATM_32,2024-09-12,221901,34785,14306,62,Thursday,201422,0
ATM_6,2024-04-16,154762,21570,14033,195,Tuesday,147225,0
ATM_32,2024-01-08,123929,2180,10316,123,Monday,132065,0
ATM_4,2024-08-23,131396,34649,15743,199,Friday,112490,0
ATM_11,2024-06-26,224685,7136,6879,154,Wednesday,224428,0
ATM_17,2024-08-29,177000,14215,2777,45,Thursday,165562,0
ATM_38,2024-02-10,267744,4571,9015,58,Saturday,272188,0
ATM_24,2024-12-22,133451,47320,5633,75,Sunday,91764,0
ATM_5,2024-09-01,190653,10092,7148,96,Sunday,187709,0
ATM_34,2024-04-22,288098,36813,5110,14,Monday,256395,0
ATM_6,2024-12-30,131617,12160,12349,196,Monday,131806,0
ATM_22,2024-09-12,133537,33512,7220,124,Thursday,107245,0
ATM_11,2024-06-14,95101,32914,14025,178,Friday,76212,0
ATM_48,2024-12-07,284530,4762,5165,67,Saturday,284933,0
ATM_16,2024-03-18,74940,49128,8106,196,Monday,33918,0
ATM_33,2024-07-25,294181,22315,2644,171,Thursday,274510,0
ATM_9,2024-11-06,118907,32659,8312,90,Wednesday,94560,0
ATM_6,2024-07-14,61016,20542,7229,30,Sunday,47703,0
ATM_16,2024-11-16,204015,27455,15618,77,Saturday,192178,0
ATM_29,2024-03-04,104617,43339,2001,126,Monday,63279,0
ATM_3,2024-05-19,133292,17493,4726,68,Sunday,120525,0
ATM_20,2024-02-11,294410,33272,2740,163,Sunday,263878,0
